#;Clave;Intentos
0;890;891
1;952;953
2;208;209
3;133;134
4;471;472
5;529;530
6;944;945
7;134;135
8;501;502
9;274;275
10;630;631
11;287;288
12;643;644
13;869;870
14;914;915
15;916;917
16;591;592
17;706;707
18;680;681
19;975;976
20;83;84
21;213;214
22;637;638
23;817;818
24;120;121
25;651;652
26;47;48
27;719;720
28;98;99
29;138;139
30;82;83
31;54;55
32;23;24
33;411;412
34;477;478
35;602;603
36;56;57
37;43;44
38;360;361
39;252;253
40;105;106
41;608;609
42;159;160
43;475;476
44;556;557
45;753;754
46;518;519
47;323;324
48;67;68
49;737;738
50;752;753
51;412;413
52;605;606
53;793;794
54;304;305
55;572;573
56;307;308
57;827;828
58;467;468
59;705;706
60;669;670
61;992;993
62;645;646
63;155;156
64;121;122
65;423;424
66;385;386
67;752;753
68;629;630
69;0;1
70;440;441
71;182;183
72;978;979
73;389;390
74;452;453
75;399;400
76;953;954
77;501;502
78;246;247
79;670;671
80;200;201
81;854;855
82;556;557
83;959;960
84;316;317
85;241;242
86;698;699
87;850;851
88;358;359
89;162;163
90;52;53
91;300;301
92;918;919
93;530;531
94;667;668
95;413;414
96;370;371
97;40;41
98;710;711
99;355;356
100;237;238
101;625;626
102;481;482
103;337;338
104;500;501
105;524;525
106;227;228
107;698;699
108;221;222
109;547;548
110;384;385
111;784;785
112;885;886
113;722;723
114;166;167
115;371;372
116;390;391
117;547;548
118;482;483
119;903;904
120;447;448
121;302;303
122;655;656
123;336;337
124;431;432
125;854;855
126;579;580
127;212;213
128;265;266
129;189;190
130;28;29
131;450;451
132;57;58
133;40;41
134;666;667
135;924;925
136;518;519
137;64;65
138;776;777
139;222;223
140;837;838
141;330;331
142;560;561
143;332;333
144;840;841
145;676;677
146;682;683
147;124;125
148;91;92
149;133;134
150;298;299
151;211;212
152;184;185
153;456;457
154;563;564
155;405;406
156;981;982
157;313;314
158;834;835
159;14;15
160;843;844
161;509;510
162;455;456
163;117;118
164;413;414
165;152;153
166;189;190
167;599;600
168;299;300
169;819;820
170;753;754
171;387;388
172;877;878
173;647;648
174;664;665
175;878;879
176;807;808
177;749;750
178;32;33
179;479;480
180;87;88
181;281;282
182;580;581
183;694;695
184;243;244
185;239;240
186;686;687
187;601;602
188;478;479
189;849;850
190;94;95
191;343;344
192;490;491
193;943;944
194;340;341
195;495;496
196;560;561
197;936;937
198;806;807
199;112;113
200;651;652
201;710;711
202;332;333
203;701;702
204;541;542
205;967;968
206;647;648
207;794;795
208;388;389
209;213;214
210;163;164
211;360;361
212;192;193
213;192;193
214;396;397
215;550;551
216;300;301
217;584;585
218;492;493
219;236;237
220;582;583
221;277;278
222;335;336
223;657;658
224;264;265
225;905;906
226;668;669
227;370;371
228;988;989
229;221;222
230;576;577
231;353;354
232;565;566
233;826;827
234;77;78
235;250;251
236;118;119
237;83;84
238;882;883
239;718;719
240;870;871
241;315;316
242;538;539
243;280;281
244;790;791
245;446;447
246;219;220
247;435;436
248;534;535
249;84;85
250;383;384
251;628;629
252;593;594
253;509;510
254;392;393
255;70;71
256;474;475
257;975;976
258;463;464
259;797;798
260;482;483
261;680;681
262;853;854
263;134;135
264;438;439
265;118;119
266;546;547
267;79;80
268;825;826
269;421;422
270;144;145
271;946;947
272;138;139
273;831;832
274;771;772
275;299;300
276;51;52
277;726;727
278;563;564
279;791;792
280;634;635
281;337;338
282;370;371
283;948;949
